supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*(чиста\s+синусоїда|чистая\s+синусоида).*;;;regex;Форма вихідної напруги;;Чиста синусоїда;4;TRUE;5140401;name;
(?i).*апроксимован.*;;;regex;Форма вихідної напруги;;Апроксимована синусоїда;5;TRUE;5140401;name;
;"Вихідна потужність, Вт";^([0-9][0-9\s]*)$;regex;Номінальна потужність;Вт;$1 ;6;TRUE;5140401;extract;
;"Вихідна потужність, Вт";.*?([0-9][0-9\s]+)\s*[-/]\s*([0-9][0-9\s]+).*;regex;Максимальна потужність;Вт;$2 ;7;TRUE;5140401;extract;
;"Вихідна потужність, Вт";.*?([0-9][0-9\s]+)\s*[-/]\s*([0-9][0-9\s]+).*;regex;Номінальна потужність;Вт;$1 ;8;TRUE;5140401;extract;
;"Напруга батареї, В";(\d+)\s*-\s*(\d+);regex;Номінальна вхідна напруга;В;$1 ;9;TRUE;5140401;extract;
;"Напруга батареї, В";(\d+(?:\.\d+)?)\s*–\s*(\d+(?:\.\d+)?);regex;Номінальна вхідна напруга;В;$1 ;10;TRUE;5140401;extract;
;"Напруга батареї, В";^(\d+(?:\.\d+)?)$;regex;Номінальна вхідна напруга;В;$1 ;11;TRUE;5140401;extract;
;"Струм зарядки батареї, А";(\d+)\s*\+\s*(\d+);regex;Номінальний струм;А;$1 ;12;TRUE;5140401;extract;
;"Струм зарядки батареї, А";^(\d+)$;regex;Номінальний струм;А;$1 ;13;TRUE;5140401;extract;
;"Потужність сонячних панелей, Вт";([\d\s]+);regex;Максимальна потужність;Вт;$1 ;14;TRUE;5140401;extract;
;Класс защиты;(IP[0-9]{2});regex;Ступінь захисту IP;;$1 ;15;TRUE;5140401;extract;
;Рабочая температура;(-?\d+)\s*°?\s*[CСcс˚]?\s*(?:-|–|—|~)\s*\+?\s*\d+;regex;Мінімальна робоча температура навколишнього середовища;град.;$1 ;16;TRUE;5140401;extract;
;Рабочая температура;-?\d+\s*°?\s*[CСcс˚]?\s*(?:-|–|—|~)\s*\+?\s*(\d+);regex;Максимальна робоча температура навколишнього середовища;град.;$1 ;17;TRUE;5140401;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Ширина;мм;$1 ;18;TRUE;5140401;extract;
