№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
29;https://secur.ua/ajax/zaxist-vid-vtorgnennia/breloki/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;S;;Вага;г;;50;486;Брелоки;Тип устройства;;Брелок
30;https://secur.ua/ajax/zaxist-vid-vtorgnennia/breloki/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;"S, Sprom, noindex";;Вага;г;;50;486;Брелоки;Тип устройства;;Брелок
31;https://secur.ua/ajax/zaxist-vid-vtorgnennia/klaviatury/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;301305;https://prom.ua/Klaviatury-kodonabornye;S;;Вага;г;;50;487;Клавіатура для сигналізації;Тип устройства;;Клавіатура для сигналізації
32;https://secur.ua/ajax/zaxist-vid-vtorgnennia/klaviatury/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;301305;https://prom.ua/Klaviatury-kodonabornye;"S, Sprom, noindex";;Вага;г;;50;487;Клавіатура для сигналізації;Тип устройства;;Клавіатура для сигналізації
33;https://secur.ua/ajax/zapobigannia-potopu/datchiki-zatopleniya-ajax/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;S;;Вага;г;;50;480;Датчики затоплення;Тип устройства;;Датчики затоплення
34;https://secur.ua/ajax/zapobigannia-potopu/datchiki-zatopleniya-ajax/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;"S, Sprom, noindex";;Вага;г;;50;480;Датчики затоплення;Тип устройства;;Датчики затоплення
35;https://secur.ua/ajax/zapobigannia-potopu/kran-perekrytija-vody/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;S;;Вага;г;;50;396;Крани перекриття води;Тип устройства;;Крани перекриття води
36;https://secur.ua/ajax/zapobigannia-potopu/kran-perekrytija-vody/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;"S, Sprom, noindex";;Вага;г;;50;396;Крани перекриття води;Тип устройства;;Крани перекриття води
37;https://secur.ua/ajax/videosposterezennia/videorejestratori/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;50;13;Відеореєстратори;Тип устройства;;Відеореєстратори
38;https://secur.ua/ajax/videosposterezennia/videorejestratori/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;50;13;Відеореєстратори;Тип устройства;;Відеореєстратори
