prom_category_id;prom_category_name;rozetka_category_id;rozetka_category_name;matched_royalty_id;matched_royalty_name;match_level;brand;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;;;;1.4;1.33;;;;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;157092;Драбини, підмостки;2577232;Інструменти й обладнання;2;;18;;;1.38;;;0.9;0.9;1;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;157092;Драбини, підмостки;2577232;Інструменти й обладнання;2;;10;5000;9999;1.25;;;0.9;0.9;1;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;157092;Драбини, підмостки;2577232;Інструменти й обладнання;2;;7;10000;19999;1.21;;;0.9;0.9;1;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;157092;Драбини, підмостки;2577232;Інструменти й обладнання;2;;5;20000;99999;1.18;;;0.9;0.9;1;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;157092;Драбини, підмостки;2577232;Інструменти й обладнання;2;;3;100000;999999999;1.16;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4627949;Смартфони, ТВ і електроніка;gap:4628124;;22;0;2999;1.45;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4628124;Фото та відео;1;;15;3000;4999;1.33;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4628124;Фото та відео;1;;10;5000;9999;1.25;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4628124;Фото та відео;1;;7;10000;19999;1.21;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4628124;Фото та відео;1;;5;20000;99999;1.18;;;0.9;0.9;1;
1507;Аудіотехніка та аксесуари > Батарейки;654239;Акумулятори та батарейки;4628124;Фото та відео;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
1902;Відеотехніка > Відеокамери, екшн-камери;179179;Аксесуари до екшн-камер;4627949;Смартфони, ТВ і електроніка;gap:179179;;22;0;999;1.45;;;0.9;0.9;1;
1902;Відеотехніка > Відеокамери, екшн-камери;179179;Аксесуари до екшн-камер;179179;Аксесуари до екшн-камер;0;;15;1000;2999;1.33;;;0.9;0.9;1;
1902;Відеотехніка > Відеокамери, екшн-камери;179179;Аксесуари до екшн-камер;179179;Аксесуари до екшн-камер;0;;10;3000;999999999;1.25;;;0.9;0.9;1;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1124685;Квадрокоптери;4627893;Спорт і захоплення;gap:81499;;18;0;4999;1.38;;;0.9;0.9;1;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1124685;Квадрокоптери;81499;Радіокеровані моделі;1;;12;5000;19999;1.28;;;0.9;0.9;1;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1124685;Квадрокоптери;81499;Радіокеровані моделі;1;;7;20000;69999;1.21;;;0.9;0.9;1;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1124685;Квадрокоптери;81499;Радіокеровані моделі;1;;5;70000;99999;1.18;;;0.9;0.9;1;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1124685;Квадрокоптери;81499;Радіокеровані моделі;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;3779482;Аксесуари до туалетів для тварин;2394287;Товари для дому;gap:3520929;;18;0;2999;1.38;;;0.9;0.9;1;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;3779482;Аксесуари до туалетів для тварин;3520929;Зоотовари;2;;15;3000;4999;1.33;;;0.9;0.9;1;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;3779482;Аксесуари до туалетів для тварин;3520929;Зоотовари;2;;10;5000;9999;1.25;;;0.9;0.9;1;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;3779482;Аксесуари до туалетів для тварин;3520929;Зоотовари;2;;7;10000;19999;1.21;;;0.9;0.9;1;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;3779482;Аксесуари до туалетів для тварин;3520929;Зоотовари;2;;5;20000;999999999;1.18;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;4627949;Смартфони, ТВ і електроніка;gap:259632;;22;0;1999;1.45;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;259632;Домофони;1;;15;2000;6999;1.33;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;259632;Домофони;1;;10;7000;13999;1.25;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;259632;Домофони;1;;7;14000;19999;1.21;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;259632;Домофони;1;;5;20000;99999;1.18;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;259633;Відеодомофони;259632;Домофони;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;4627949;Смартфони, ТВ і електроніка;gap:259632;;22;0;1999;1.45;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;259632;Домофони;1;;15;2000;6999;1.33;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;259632;Домофони;1;;10;7000;13999;1.25;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;259632;Домофони;1;;7;14000;19999;1.21;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;259632;Домофони;1;;5;20000;99999;1.18;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260016;Панелі виклику;259632;Домофони;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;4627949;Смартфони, ТВ і електроніка;gap:259632;;22;0;1999;1.45;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;15;2000;6999;1.33;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;10;7000;13999;1.25;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;7;14000;19999;1.21;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;5;20000;99999;1.18;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;4627949;Смартфони, ТВ і електроніка;gap:259632;;22;0;1999;1.45;;;0.9;0.9;1;
