category_id;category_name;coef_kasta;coef_epicenter;coef_rozetka
141726;Электроинструмент > Клеевые электрические пистолеты;1.5;1.44;1.66
141735;Электроинструмент > Многофункциональные инструменты;1.5;1.44;1.66
142001;Инструмент > Комплектующие и запчасти для инструмента;1.5;1.44;1.66
142004;Инструмент > Наборы инструментов;1.5;1.44;1.66
142007;Инструмент > Ящики, сумки для инструментов;1.5;1.44;1.66
142614;Вспомогательное оборудование > Станины, верстаки, рабочие столы;1.5;1.35;1.66
143109;Металлообрабатывающие станки > Точильные станки;1.5;1.35;1.66
147002;Промышленное уборочное и очистительное оборудование > Промышленные пылесосы;1.5;1.44;1.66
150111;Гигиена и уход за детьми > Аксессуары для безопасности детей;1.5;1.44;1.66
150401;Освещение, электрика > Уличное освещение;1.5;1.44;1.66
150402;Светильники > Лампочки;1.5;1.44;1.66
150410;Туристические инструменты > Ручные и налобные фонари;1.5;1.5;1.66
151406;Уборка > Хозяйственные перчатки;1.5;1.44;1.66
153502;Система умный дом > Аксессуары для домофонного оборудования;1.44;1.44;1.66
153504;Система умный дом > Датчики для умного дома;1.5;1.5;1.66
153709;Приборы измерения, регулирования температуры > Термометры, пирометры, тепловизоры;1.5;1.44;1.66
153719;Датчики > Датчики качества воздуха;1.38;1.44;1.66
153729;Оптические приборы и системы > Тактические тепловизоры;1.33;1.35;1.66
180312;Товары для охоты > Фотоловушки, камеры для охоты;1.33;1.44;1.66
181010;Туристические инструменты > Ножи для охоты, рыбалки и туризма;1.5;1.44;1.66
181613;Оптические приборы и системы > Прицелы и мушки;1.33;1.5;1.66
190403;Оптические приборы и системы > Лазерные дальномеры;1.5;1.44;1.66
190407;Оптичні прилади і системи > Комплектуючі для оптичних приладів;1.33;1.35;1.66
240457;Туристическая посуда > Туристические фляги;1.5;1.44;1.66
270204;Кормление домашних животных и птиц > Кормушки, поилки и миски для домашних животных и птиц;1.5;1.44;1.66
300402;Средства аварийной безопасности > Проблесковые маячки, спецсигналы и сирены;1.44;1.44;1.66
300418;Оборудование электронное, приборы защиты и безопасности > Системы защиты от потопа;1.5;1.5;1.66
300921;Пожарная автоматика > Пожарные извещатели;1.44;1.44;1.66
300934;Пожарная автоматика > Модули контроля и управления;1.44;1.44;1.66
301010;Замки и защелки > Замки;1.5;1.44;1.66
301101;Система умный дом > Стационарные видеорегистраторы;1.44;1.44;1.66
301105;Технические средства видеонаблюдения > Камеры видеонаблюдения;1.44;1.44;1.66
301106;Технические средства видеонаблюдения > Объективы для камер видеонаблюдения;1.35;1.44;1.66
301110;Комплектующие для систем видеонаблюдения > Пульты для систем видеонаблюдения;1.44;1.44;1.66
301112;Комплектующие для систем видеонаблюдения > Кожухи и кронштейны;1.44;1.44;1.66
301301;Средства и системы СКУД > Турникеты;1.5;1.44;1.66
301305;Система умный дом > Кодонаборные клавиатуры;1.5;1.44;1.66
301310;Средства и системы СКУД > Идентификаторы;1.5;1.44;1.66
301311;Средства и системы СКУД > Считыватели;1.5;1.44;1.66
301312;Средства и системы СКУД > Контроллеры СКУД;1.5;1.44;1.66
301501;Средства организации дорожного движения > Временные дорожные ограждения;1.4;1.44;1.66
301901;Средства защиты > Средства защиты органов дыхания;1.5;1.44;1.66
301908;Средства безопасности труда > Средства защиты глаз;1.5;1.44;1.66
301911;Средства защиты > Строительные каски;1.5;1.44;1.66
302302;Системы охраны и оповещения > Охранные извещатели;1.5;1.44;1.66
302303;Системы охраны и оповещения > Приемно-контрольные приборы и приборы управления;1.44;1.44;1.66
302306;Система умный дом > Охранные системы и сигнализации;1.44;1.44;1.66
302307;Системы охраны и оповещения > Брелки, пульты для охранных систем;1.44;1.44;1.66
302308;Системы охраны и оповещения > Тревожные кнопки и кнопки выхода;1.5;1.44;1.66
302309;Системы охраны и оповещения > Коробы и корпуса для охранных систем;1.44;1.44;1.66
340416;Автомобильная электроника > Автомобильные видеорегистраторы;1.4;1.44;1.66
380650;Спортивные сумки и рюкзаки > Поясные сумки;1.5;1.54;1.66
410201;Батареи и аккумуляторы > Зарядные устройства для аккумуляторов;1.5;1.44;1.66
410402;Генераторы и электростанции > Электрогенераторы;1.44;1.35;1.66
410612;Электрика > Настенные выключатели;1.5;1.5;1.66
420504;Метрический крепеж > Гайки;1.5;1.5;1.66
500415;Фото-, видеокамеры и аксессуары > Запчасти и комплектующие для квадрокоптеров;1.5;1.27;1.66
500901;Повербанки и зарядные станции > Зарядные станции;1.38;1.44;1.66
1250303;Инструменты для обработки почвы > Вилы;1.5;1.44;1.66
1250305;Инструменты для обработки почвы > Посадочные совки, вилки;1.5;1.44;1.66
1250307;Инструменты для обработки почвы > Мотыги, тяпки, сапки;1.5;1.44;1.66
1250309;Садовый инвентарь и освещение > Садовые пылесосы, воздуходувки;1.44;1.35;1.66
1250311;Инструменты для обрезки > Пилы для обрезки ветвей;1.5;1.44;1.66
1250312;Инструменты для обрезки > Садовые ножницы, секаторы, ножи;1.5;1.44;1.66
1250313;Инструменты для обработки почвы > Грабли;1.5;1.44;1.66
3080804;Одежда рабочая > Комбинезоны и полукомбинезоны рабочие;1.58;1.44;1.66
3082002;Тактическая защита и экипировка > Разгрузочные жилеты и плитоноски без плит;1.5;1.44;1.66
5090201;Телефоны и аксессуары > Стационарные телефоны;1.35;1.44;1.66
5090319;Аксессуары для мобильных телефонов > Зарядные устройства для смартфонов и планшетов;1.5;1.44;1.66
5090503;Беспроводная связь > Усилители антенные;1.5;1.27;1.66
5090506;Беспроводная связь > Мосты, шлюзы беспроводных сетей;1.44;1.27;1.66
5090509;Беспроводная связь > Wi-fi адаптеры;1.38;1.27;1.66
5090510;Аксессуары для телевизоров и проекторов > Телевизионные антенны;1.5;1.27;1.66
5092006;Оптоволоконное оборудование > Оптические конвертеры;1.44;1.5;1.66
5092007;Оптоволоконное оборудование > Модули GBIC и SFP;1.44;1.5;1.66
5092902;Пассивное сетевое оборудование > Патч-панели;1.38;1.5;1.66
5092904;Пассивное сетевое оборудование > Коммуникационные розетки;1.5;1.5;1.66
5092913;Монтажное оборудование > Кабеленесущие системы;1.44;1.5;1.66
5093501;Инструмент для сетевых работ > Инструмент для заделки кабеля;1.5;1.44;1.66
5140401;Преобразователи > Инверторы;1.44;1.35;1.66
5280501;Батареи и аккумуляторы > Аккумуляторы общего назначения;1.44;1.35;1.66
6370603;Спутниковое, кабельное телевидение > Ресиверы цифрового телевидения;1.44;1.44;1.66
6370714;TV и видеотехника > Телевизоры;1.38;1.35;1.66
6370902;TV и видеотехника > Медиаплееры;1.38;1.44;1.66
6371204;Аудиотехника и аксессуары > Микрофоны;1.5;1.27;1.66
6371702;Спутниковое, кабельное телевидение > Спутниковые конвертеры;1.5;1.27;1.66
6371703;Спутниковое, кабельное телевидение > Дайсеки, усилители, телевизионные разветвители;1.5;1.27;1.66
6371704;Спутниковое, кабельное телевидение > Спутниковые антенны;1.5;1.27;1.66
6371808;Профессиональное аудио-, видео-, фото оборудование > Коммутаторы сигнала;1.5;1.27;1.66
6371809;Профессиональное аудио-, видео-, фото оборудование > Приемники и передатчики сигнала;1.44;1.44;1.66
6371818;Системы охраны и оповещения > Громкоговорители;1.44;1.27;1.66
7081201;Инструменты для обработки почвы > Ручные культиваторы, плуги;1.5;1.44;1.66
7190601;Пассивное сетевое оборудование > Сетевые коннекторы, модули и разъемы;1.38;1.27;1.66
7190603;Пассивное сетевое оборудование > HUB'ы, мосты, репитеры;1.5;1.27;1.66
7190604;Пассивное сетевое оборудование > Патч-корды;1.38;1.27;1.66
7190605;Провод, кабель, системы соединения > Кабель для систем связи;1.5;1.5;1.66
8210510;Уход за бытовой техникой > Средства для очистки бытовой техники;1.5;1.35;1.66
12110205;Автоинструмент > Автомобильные насосы, компрессоры и манометры;1.5;1.35;1.66
13040909;Геодезическое оборудование > Нивелирные рейки и вехи;1.5;1.44;1.66
13070701;Леса и другие конструкции для ремонтно-строительных работ > Стремянки;1.5;1.44;1.66
13070703;Леса и другие конструкции для ремонтно-строительных работ > Строительные и садовые лестницы;1.5;1.44;1.66
13240415;Бытовая очистка воды > Бытовые фильтры комплексной очистки воды;1.5;1.5;1.66
13560901;Ворота, ограждения, шлагбаумы и комплектующие > Аксессуары для ворот и шлагбаумов;1.5;1.44;1.66
14172701;Электрические пилы > Ручные дисковые пилы;1.5;1.44;1.66
14190303;Электроизоляторы > Электроизоляционные ленты и трубки;1.5;1.5;1.66
14190406;Провод, кабель, системы соединения > Разъемы и коннекторы;1.5;1.5;1.66
14190408;Провод, кабель, системы соединения > Силовые кабели, перемычки;1.5;1.5;1.66
14190901;Реле > Реле напряжения;1.5;1.5;1.66
14190906;Реле > Автоматические выключатели, УЗО;1.5;1.5;1.66
14191103;Блоки питания > Промышленные и бытовые источники питания;1.5;1.35;1.66
14191106;Блоки питания > Источники бесперебойного питания (ИБП);1.44;1.5;1.66
14191107;Блоки питания > Стабилизаторы напряжения;1.35;1.35;1.66
14200301;Ручной инструмент > Топоры;1.5;1.44;1.66
14200305;Ручной инструмент > Молотки, кувалды, киянки;1.5;1.44;1.66
14200306;Ручной инструмент > Строительные ножи, ножницы;1.5;1.44;1.66
14200308;Дереворежущий инструмент > Ручные пилы, ножовки;1.5;1.44;1.66
14200310;Ручной инструмент > Отвертки;1.5;1.44;1.66
14200327;Ключи > Разводные ключи;1.5;1.44;1.66
14200329;Ключи > Шестигранные ключи;1.5;1.44;1.66
14200332;Ключи > Торцевые головки;1.5;1.44;1.66
14200340;Губцевые инструменты > Бокорезы, кусачки;1.5;1.44;1.66
14200341;Губцевые инструменты > Пассатижи, плоскогубцы, тонкогубцы;1.5;1.44;1.66
14200347;Губцевые инструменты > Зажимные клещи;1.5;1.44;1.66
14200348;Губцевые инструменты > Трубные клещи;1.5;1.44;1.66
14200374;Ручной инструмент > Строительные карандаши, маркеры;1.5;1.44;1.66
14200378;Ключи > Наборы ключей;1.5;1.44;1.66
14200390;Ручной инструмент > Монтажные пинцеты;1.5;1.44;1.66
14200394;Ручной инструмент > Мультитулы;1.5;1.44;1.66
14200513;Пневматический инструмент > Пневматические отбойные молотки;1.5;1.44;1.66
14200604;Строительный измерительный инструмент > Измерительные рулетки;1.5;1.44;1.66
14200612;Датчики > Датчики влажности и температуры;1.5;1.44;1.66
14200914;Гидравлический инструмент > Гидравлические цепные пилы;1.5;1.35;1.66
14201002;Металлорежущий инструмент > Ручные ножницы по металлу;1.5;1.44;1.66
14201502;Оснастка для инструмента > Ножовочные полотна;1.5;1.44;1.66
14201506;Оснастка для инструмента > Пилки для лобзиков;1.5;1.44;1.66
14201509;Оснастка для инструмента > Отрезные, зачистные, шлифовальные, пильные круги;1.5;1.44;1.66
14201512;Оснастка для инструмента > Зубила, долото для перфоратора;1.5;1.44;1.66
14201516;Оснастка для инструмента > Масла, смазки для инструмента;1.5;1.35;1.66
14201602;Инструменты для обработки почвы > Лопаты;1.5;1.44;1.66
14201607;Оснастка для инструмента > Сверла, буры;1.5;1.44;1.66
14201622;Строительный измерительный инструмент > Строительные уровни;1.5;1.44;1.66
14400803;Электроинструмент > Паяльники;1.5;1.44;1.66
15010508;Гигиена и уход за детьми > Радионяни, видеоняни;1.5;1.44;1.66
15040605;Светильники > Потолочные светильники;1.5;1.44;1.66
15040606;Светильники > LED подсветка интерьеров;1.44;1.44;1.66
15230410;Кухонные принадлежности > Кухонные ножи и подставки;1.5;1.44;1.66
15230411;Мелкая бытовая техника для кухни > Кухонные весы;1.44;1.44;1.66
15230433;Кухонные принадлежности > Точилки для ножей;1.5;1.44;1.66
15370306;Электроизмерительные приборы > Мультиметры;1.5;1.44;1.66
15370320;Радиоизмерительные приборы > Детекторы скрытой проводки;1.5;1.44;1.66
15370706;Оптические приборы и системы > Приборы ночного видения;1.33;1.35;1.66
15380301;Аксессуары и фурнитура для окон и дверей > Механизмы и автоматика для окон и дверей;1.5;1.44;1.66
15380311;Аксессуары и фурнитура для окон и дверей > Доводчики дверей;1.5;1.54;1.66
15380325;Аксессуары и фурнитура для окон и дверей > Аксессуары и комплектующие для замков;1.5;1.54;1.66
39050503;Светильники > Точечные светильники и трек-системы;1.5;1.44;1.66
39050509;Светильники > Настольные лампы и ночники;1.5;1.44;1.66
1420060202;Датчики > Датчики движения;1.5;1.44;1.66
141723;Электроинструмент > Электрические строительные миксеры;1.5;1.44;1.66
14200358;Ручной инструмент > Ручные обжимные инструменты;1.5;1.44;1.66
181201;Товары для прогулок и путешествий с животными > Сумки и контейнеры для переноса домашних животных;1.5;1.5;1.66
300508;Тактическая защита и экипировка > Аксессуары и комплектующие для касок и бронежилетов;1.33;1.5;1.66
14190409;Провод, кабель, системы соединения > Шнуры, переходники;1.5;1.5;1.66
14200355;Ручные съемники > Съемники изоляции;1.5;1.5;1.66
141713;Электроинструмент > Электролобзики;1.5;1.5;1.66
1250301;Инструменты для обрезки > Кусторезы;1.5;1.5;1.66
1250321;Инструмент для скашивания травы > Мотокосы и триммеры;1.5;1.5;1.66
150426;Освещение, электрика > LED освещение;1.5;1.5;1.66
