categoryId;offer id;article;name_ua;price;stock_quantity
1554082;3098522136;700171;Акумулятор мультигелевий LPM-MG 12V - 33 Ah;3579;12
1554082;3098522138;700172;Акумулятор мультигелевий LPM-MG 12V - 26 Ah;2960;14
1554082;3098522144;700175;Акумулятор мультигелевий LPM-MG 12V - 7 Ah;807;14
1554082;3098522146;700176;Акумулятор мультигелевий LPM-MG 12V - 250 Ah;21081;1
1554082;3098522153;700179;Акумулятор AGM LPM 6V - 12 Ah;630;13
80108;3098522157;700181;ДБЖ з правильною синусоїдою 48V LPY-W-PSW-5000VA+(3500Вт)10A/20A;28248;1
80108;3098522159;700182;ДБЖ з правильною синусоїдою 48V LPY-W-PSW-3000VA+(2100Вт);19602;1
1554082;3098522161;700183;Акумулятор AGM LPM 4V - 4 Ah;236;13
1554082;3098522163;700184;Акумулятор AGM LPM 12V - 26 Ah (3098522163);2783;12
1554082;3098522169;700187;Акумулятор мультигелевий LPM-MG 12V - 65 Ah;5507;10
1554082;3098522171;700188;Акумулятор гелевий LPM-GL 12V - 65 Ah (3098522171);5873;10
1554082;3098522173;700189;Акумулятор AGM LPM 12V - 5 Ah (3098522173);630;15
1554082;3098522177;700191;Тяговий свинцево-кислотний AGM акумулятор LP 6-DZM-12 Ah;1688;14
80108;3098522227;700217;Блок безперебійного живлення GV-008MU-UPS-A-1203-10A;2555;15
80108;3098522516;700319;Блок безперебійного живлення GreenVision GV-007-UPS-A-1203-8A;1260;15
1554082;3098522624;700370;Акумулятор LP LiFePO4 12,8V - 150 Ah (1920Wh) (BMS 150A/75А) пластик Smart BT;23687;1
1554082;3098522789;700382;Акумулятор LP LiFePO4 25,6V - 32 Ah (820Wh) (BMS 40A/32А) пластик Smart BT;13765;5
80108;3099293449;205358;Джерело безперебійного живлення Hikvision DS-UPS1000 1000 ВА;3455;14
1554082;3099428195;101273;Акумулятор EnerGo LiFePO4 12V 100Ah (NRG-KM12100LF-BX);14767;7
1554082;3099428196;101274;Акумулятор EnerGo LiFePO4 12V 200Ah (NRG-KM12200LF-BX);25683;3
1554082;3099428197;101275;Акумулятор EnerGo LiFePO4 24V 100Ah (NRG-KM24100LF-BX);24272;3
1554082;3099428198;101276;Акумулятор EnerGo LiFePO4 24V 200Ah (NRG-KM24200LF-BX);37084;1
1554082;3099428199;101277;Акумулятор EnerGo LiFePO4 51.2V 100Ah (NRG-KM51100LF-BX);54206;1
1554082;3099428200;101278;Акумулятор EnerGo LiFePO4 24V 100Ah (NRG-KM24100LF-WM);32804;1
1554082;3099428201;101279;Акумулятор EnerGo LiFePO4 24V 200Ah (NRG-KM24200LF-WM);70564;1
1554082;3099428202;101280;Акумулятор EnerGo LiFePO4 51.2V 100Ah (NRG-KM51100LF-WM);62767;1
