product_type;theme;schedule;google_cat_id;google_cat_hint;notes
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > дверні дзвінки;home;day;2972;Hardware > Building Materials > Door Hardware > Door Bells & Chimes;auto
Дім і сад > посуд > кухонне приладдя > кухонні ножі та підставки;home;day;665;Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Knives;auto
Дім і сад > посуд > кухонне приладдя > точила для ножів;home;day;752;Home & Garden > Kitchen & Dining > Kitchen Appliances > Knife Sharpeners;auto
Дім і сад > догляд за будинком > прибирання > освіжувачі повітря;home;day;3898;Home & Garden > Decor > Home Fragrances > Air Fresheners;auto
Дім і сад > догляд за будинком > прибирання > щітки та скребачки для прибирання;home;day;4670;Home & Garden > Household Supplies > Household Cleaning Supplies > Scrub Brushes;auto
Опалення > теплові насоси;home;day;499873;"Hardware > Heating, Ventilation & Air Conditioning";auto
матеріали для ремонту > скріплювальні вироби > метричне кріплення > кріпильні гвинти;home;day;2251;Hardware > Hardware Accessories > Hardware Fasteners > Screws;auto
"матеріали для ремонту > скріплювальні вироби > метричне кріплення > шайби, гровер";home;day;2195;Hardware > Hardware Accessories > Hardware Fasteners > Washers;auto
промислове обладнання та верстати > промислове кліматичне обладнання > промислові кондиціонери > фанкойли;home;day;605;Home & Garden > Household Appliances > Climate Control Appliances > Air Conditioners;auto
техніка та електроніка > аудіотехніка та аксесуари > портативні колонки;home;day;249;Electronics > Audio > Audio Components > Speakers;auto
техніка та електроніка > побутова техніка > побутова техніка для дому > Роботи для миття вікон;home;day;619;Home & Garden > Household Appliances > Vacuums;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > Планшети;it;day;4745;Electronics > Computers > Tablet Computers;auto
"техніка та електроніка > комп'ютерна техніка та ПЗ > комплектуючі для комп'ютерної техніки > внутрішні та зовнішні жорсткі диски, HDD, SSD";it;day;380;Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > монітори;it;day;305;Electronics > Video > Computer Monitors;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > носії інформації > USB накопичувачі;it;day;3712;Electronics > Electronics Accessories > Computer Components > Storage Devices > USB Flash Drives;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > носії інформації > карти пам'яті;it;day;3387;Electronics > Electronics Accessories > Memory > Flash Memory > Flash Memory Cards;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > комплектуючі для комп'ютерної техніки > блоки живлення для комп'ютерів;it;day;291;Electronics > Electronics Accessories > Computer Components > Computer Power Supplies;auto
"електрообладнання > освітлення, електрика > LED освітлення";lighting;day;3329;Home & Garden > Lighting > Light Bulbs > LED Light Bulbs;auto
"електрообладнання > освітлення, електрика > вуличне освітлення";lighting;day;1546;Home & Garden > Lighting > Flood & Spot Lights;auto
Дім і сад > декор > світильники > LED підсвітка інтер'єрів;lighting;day;2608;Home & Garden > Lighting > Light Ropes & Strings;auto
Дім і сад > декор > світильники > Стельові світильники;lighting;day;2524;Home & Garden > Lighting > Lighting Fixtures > Ceiling Light Fixtures;auto
Дім і сад > декор > світильники > лампочки;lighting;day;2425;Home & Garden > Lighting > Light Bulbs;auto
Дім і сад > декор > світильники > настільні лампи і нічники;lighting;day;4636;Home & Garden > Lighting > Lamps;auto
Дім і сад > декор > світильники > точкові світильники та трек-системи;lighting;day;6274;Home & Garden > Lighting > Track Lighting;auto
"електрообладнання > освітлення, електрика > офісно-торгове освітлення";lighting;day;2524;Home & Garden > Lighting > Lighting Fixtures > Ceiling Light Fixtures;auto
матеріали для ремонту > електрика > Вимикачі світла;lighting;day;1935;Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches;auto
Воєнторг > Засоби зв'язку і позиціонування > переговорні пристрої;military;day;273;Electronics > Communications > Communication Radios > Two-Way Radios;auto
Воєнторг > Тактичний захист та екіпірування > Аксесуари та комплектуючі для касок та бронежилетів;military;day;2047;Business & Industrial > Work Safety Protective Gear;auto
Воєнторг > Тактичний захист та екіпірування > розвантажувальні жилети та плитоноски без плит;military;day;2389;Business & Industrial > Work Safety Protective Gear > Bullet Proof Vests;auto
Воєнторг > оптичні прилади і системи > Тактичні тепловізори;military;day;6799;Hardware > Tools > Measuring Tools & Sensors > Thermal Imaging Cameras;auto
Воєнторг > оптичні прилади і системи > прилади нічного бачення;military;day;156;Cameras & Optics > Optics;auto
Воєнторг > оптичні прилади і системи > приціли і мушки;military;day;1695;Cameras & Optics > Optics > Scopes > Weapon Scopes & Sights;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Запчастини та комплектуючі для квадрокоптерів";military_drone;day;3977;Vehicles & Parts > Vehicle Parts & Accessories > Aircraft Parts & Accessories;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Квадрокоптери";military_drone;day;3395;Vehicles & Parts > Vehicles > Aircraft;auto
контрольно-вимірювальні прилади > оптичні прилади і системи > комплектуючі для оптичних приладів;military_optics;day;160;Cameras & Optics > Camera & Optic Accessories > Optic Accessories;auto
Аксесуари та прикраси > Аксесуари > дощовики;military_outdoor;day;3066;Apparel & Accessories > Clothing > Outerwear > Rain Suits;auto
телекомунікації та зв'язок > активне мережеве обладнання > обладнання для живлення по ethernet;network;day;6508;Electronics > Networking > Power Over Ethernet Adapters;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > HUB'и, мости, репітери";network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > комунікаційні розетки;network;day;2028;Hardware > Power & Electrical Supplies > Phone & Data Jacks;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > мережеві конектори, модулі та роз'єми";network;day;290;Electronics > Networking > Network Cards & Adapters;auto
